GEOID,NAME,B05002_001E,B05002_001M,B05002_013E,B05002_013M
25245,ZCTA5 25245,632,242,0,12
25268,ZCTA5 25268,1059,331,0,12
25286,ZCTA5 25286,1719,429,0,12
25303,ZCTA5 25303,6764,735,199,126
25311,ZCTA5 25311,10386,975,129,65
25419,ZCTA5 25419,10860,1322,259,165
25434,ZCTA5 25434,3078,707,56,81
25446,ZCTA5 25446,1212,444,70,61
25106,ZCTA5 25106,604,237,2,3
25501,ZCTA5 25501,1204,329,0,12
25507,ZCTA5 25507,864,283,10,17
25515,ZCTA5 25515,1856,372,0,12
25520,ZCTA5 25520,1200,570,0,12
25535,ZCTA5 25535,2848,759,33,53
25564,ZCTA5 25564,1217,608,0,12
25601,ZCTA5 25601,5053,644,20,23
25606,ZCTA5 25606,1346,358,0,12
25608,ZCTA5 25608,967,253,19,28
25617,ZCTA5 25617,824,345,0,12
25621,ZCTA5 25621,1512,369,0,12
25628,ZCTA5 25628,226,151,0,12
25632,ZCTA5 25632,247,110,0,12
25644,ZCTA5 25644,584,360,0,12
25671,ZCTA5 25671,1724,476,0,12
25817,ZCTA5 25817,588,361,0,12
25818,ZCTA5 25818,461,274,0,12
25836,ZCTA5 25836,101,161,0,12
25843,ZCTA5 25843,935,445,0,12
25666,ZCTA5 25666,333,163,0,12
25650,ZCTA5 25650,344,201,0,12
26541,ZCTA5 26541,2761,702,0,12
26576,ZCTA5 26576,886,336,0,12
26627,ZCTA5 26627,266,192,0,12
26629,ZCTA5 26629,239,168,0,12
26676,ZCTA5 26676,494,295,0,12
26680,ZCTA5 26680,308,212,0,12
26714,ZCTA5 26714,430,246,0,12
26726,ZCTA5 26726,12331,769,113,79
26731,ZCTA5 26731,446,186,0,12
26753,ZCTA5 26753,6129,822,0,17
26757,ZCTA5 26757,7032,773,69,39
26804,ZCTA5 26804,650,180,0,12
26823,ZCTA5 26823,68,55,0,12
26855,ZCTA5 26855,658,214,0,12
26003,ZCTA5 26003,41196,751,838,227
26031,ZCTA5 26031,1525,232,9,13
26150,ZCTA5 26150,6030,756,129,114
26152,ZCTA5 26152,9,47,0,12
26159,ZCTA5 26159,3016,389,9,12
26180,ZCTA5 26180,1980,542,0,12
26184,ZCTA5 26184,2547,637,40,42
26217,ZCTA5 26217,122,94,0,12
26224,ZCTA5 26224,255,124,0,12
26259,ZCTA5 26259,33,54,0,12
26269,ZCTA5 26269,894,212,0,12
26278,ZCTA5 26278,548,213,0,12
26294,ZCTA5 26294,940,268,0,12
26327,ZCTA5 26327,120,109,0,12
28119,ZCTA5 28119,2286,508,72,67
26034,ZCTA5 26034,4397,655,0,12
26037,ZCTA5 26037,6196,424,76,55
26062,ZCTA5 26062,20493,355,297,92
26143,ZCTA5 26143,4517,390,15,14
26149,ZCTA5 26149,2002,331,0,12
26201,ZCTA5 26201,20019,707,130,92
26266,ZCTA5 26266,88,120,0,12
26267,ZCTA5 26267,608,375,0,12
26292,ZCTA5 26292,586,134,0,12
26320,ZCTA5 26320,522,153,3,6
26347,ZCTA5 26347,2341,456,8,16
26385,ZCTA5 26385,3879,486,4,11
26411,ZCTA5 26411,544,275,0,12
26419,ZCTA5 26419,974,303,26,34
26430,ZCTA5 26430,338,148,8,11
26440,ZCTA5 26440,1187,349,0,12
26447,ZCTA5 26447,1118,304,30,46
26519,ZCTA5 26519,2131,418,0,12
26554,ZCTA5 26554,41939,1001,665,173
26570,ZCTA5 26570,3591,613,5,7
26587,ZCTA5 26587,411,161,10,16
26611,ZCTA5 26611,177,159,0,12
26623,ZCTA5 26623,1168,506,0,12
26624,ZCTA5 26624,3137,543,0,12
26443,ZCTA5 26443,537,317,0,12
26562,ZCTA5 26562,374,177,0,12
26621,ZCTA5 26621,840,283,3,7
26833,ZCTA5 26833,2197,400,0,12
26169,ZCTA5 26169,605,277,10,17
26291,ZCTA5 26291,147,97,0,12
26408,ZCTA5 26408,2651,617,0,12
26705,ZCTA5 26705,664,209,8,12
26707,ZCTA5 26707,281,120,0,12
26719,ZCTA5 26719,2929,627,6,12
26801,ZCTA5 26801,649,281,0,12
26808,ZCTA5 26808,437,241,0,12
26814,ZCTA5 26814,552,183,0,12
26836,ZCTA5 26836,6925,639,495,325
26852,ZCTA5 26852,843,266,0,12
26374,ZCTA5 26374,1613,443,0,12
26537,ZCTA5 26537,5607,419,84,78
26710,ZCTA5 26710,2224,446,8,11
26716,ZCTA5 26716,691,221,0,12
26717,ZCTA5 26717,829,239,0,12
26743,ZCTA5 26743,1735,534,0,12
26750,ZCTA5 26750,928,237,0,12
26560,ZCTA5 26560,105,84,0,12
26335,ZCTA5 26335,1751,424,7,18
26254,ZCTA5 26254,157,77,0,12
26563,ZCTA5 26563,306,107,0,12
26591,ZCTA5 26591,1609,556,0,12
26178,ZCTA5 26178,191,126,0,12
26425,ZCTA5 26425,924,215,0,12
26559,ZCTA5 26559,1232,283,15,18
26631,ZCTA5 26631,71,74,0,12
26030,ZCTA5 26030,625,162,1,2
26170,ZCTA5 26170,6023,306,14,17
26268,ZCTA5 26268,52,70,0,12
17953,ZCTA5 17953,371,81,9,10
26321,ZCTA5 26321,156,68,0,12
26412,ZCTA5 26412,318,137,0,12
27890,ZCTA5 27890,2686,427,40,28
27958,ZCTA5 27958,12364,817,242,116
27101,ZCTA5 27101,19888,1438,1186,285
27283,ZCTA5 27283,3007,606,284,240
27834,ZCTA5 27834,59049,2026,3191,605
27873,ZCTA5 27873,370,126,26,32
27925,ZCTA5 27925,3902,64,134,86
27973,ZCTA5 27973,1178,248,0,13
27110,ZCTA5 27110,2754,1071,95,70
27201,ZCTA5 27201,82,41,14,15
27205,ZCTA5 27205,36294,1783,1956,447
27332,ZCTA5 27332,33465,2278,2310,436
27340,ZCTA5 27340,15,23,0,13
27517,ZCTA5 27517,24928,1312,3378,583
27518,ZCTA5 27518,18397,1066,2771,493
27519,ZCTA5 27519,58178,2244,18225,1436
27523,ZCTA5 27523,14946,2899,2192,534
27527,ZCTA5 27527,27711,1780,1673,548
27531,ZCTA5 27531,750,252,68,58
27537,ZCTA5 27537,23894,1101,1220,320
27539,ZCTA5 27539,23488,1944,2261,555
27556,ZCTA5 27556,287,162,3,6
27574,ZCTA5 27574,14527,1006,121,94
27617,ZCTA5 27617,19048,1461,2506,533
