FIPS,TotalPopEst2019
06037,10039107
17031,5150233
48201,4713325
04013,4485414
06073,3338330
06059,3175692
12086,2716940
48113,2635516
36047,2559903
06065,2470546
32003,2266715
36081,2253858
53033,2252782
06071,2180085
48439,2102515
48029,2003554
12011,1952778
06085,1927852
26163,1749343
06001,1671329
36061,1628706
25017,1611699
42101,1584064
06067,1552058
12099,1496770
36103,1476601
12057,1471968
36005,1418207
12095,1393452
36059,1356924
39049,1316756
48453,1273954
27053,1265843
26125,1257584
39035,1235072
42003,1216045
49035,1160437
06013,1153526
51059,1147532
37183,1111761
37119,1110356
13121,1063937
24031,1050688
04019,1047279
48085,1034730
06019,999101
29189,994205
12103,974996
15003,974563
36119,967506
18097,964582
12031,957755
55079,945726
09001,943332
47157,937166
13135,936250
34003,932202
17043,922921
36029,918702
24033,909327
53053,904980
06029,900202
09003,891720
48121,887207
06075,881549
26099,873972
48215,868707
09009,854757
06111,846006
48141,839238
42091,830915
25027,830622
24005,827370
34023,825062
53061,822083
39061,817473
41051,812855
48157,811688
25025,803907
34013,798975
40109,797434
25009,789034
12071,770577
21111,766757
06081,766573
06077,762148
13067,760141
13089,759297
36055,741770
08031,727211
12105,724777
08041,720403
25021,706775
11001,705749
29095,703011
17097,696535
47037,694144
17197,690743
35001,679121
34017,672391
01073,658573
26081,656955
08005,656590
40143,651552
44007,638931
49049,636235
42017,628270
34025,618795
48339,607391
34029,607186
20091,602401
12009,601942
41067,601592
24510,593490
48491,590551
08059,582881
24003,579234
31055,571327
42045,566747
25005,565217
10003,558753
34039,556341
12101,553947
12127,553284
06099,550660
27123,550321
55025,546695
42071,545724
39153,541013
37081,537174
17089,532403
39113,531687
42029,524989
45045,523542
53063,522798
25023,521202
08001,517421
20173,516042
34007,506471
34031,501826
06097,494336
34027,491845
19153,490161
53011,488241
18089,485493
16001,481587
36085,476143
12117,471826
32031,471519
51153,470335
47093,470313
25013,466372
06107,466195
04021,462789
36067,460528
51810,449974
42133,449058
06095,447643
06083,446499
34005,445349
22033,440059
06053,434061
12115,433742
22051,432493
27037,429021
39095,428348
48061,423163
42011,421164
41005,418187
33011,417025
45079,415759
51107,413538
01097,413210
45019,411406
26049,405813
55133,404198
12081,403253
29183,402022
06061,398329
05119,391911
22071,390144
36071,384940
12021,384902
39017,383134
37067,382295
41039,382067
18003,379299
12097,375751
48039,374264
01089,372909
39151,370606
42077,369318
47065,367804
26161,367601
34021,367430
12069,367118
12083,365579
48027,362924
48355,362294
27003,356921
08069,356899
49011,355481
45051,354081
51041,352802
08035,351154
42129,348899
41047,347818
48167,342139
18057,338011
37051,335509
47149,332285
51087,330818
34035,328934
12111,328297
08013,326196
36087,325789
24027,325690
08123,324492
21067,323152
37063,321488
45083,319785
31109,319090
72127,318441
12033,318316
42079,317417
48303,310569
39093,309833
33015,309769
17111,307774
36001,305506
42095,305285
29510,300576
45063,298750
23005,295003
36027,294218
12073,293582
29077,293086
26065,292406
13063,292256
26139,291830
34015,291636
53067,290536
13051,289430
02020,288000
40027,284014
06079,283111
17201,282572
45091,280979
05007,279141
42043,278299
06047,277680
48479,276652
06087,273213
18141,271826
53035,271473
42049,269728
12001,269043
09011,265206
26077,265066
12109,264672
55009,264542
34001,263670
17119,262966
27163,262440
37021,261191
22103,260419
49057,260213
17163,259686
24021,259547
06041,258826
13057,258773
48309,256623
24025,255441
42041,253370
48245,251565
53077,250873
29047,249948
51550,244835
22055,244390
13117,244252
51710,242742
