FIPS,Recip_State,Recip_County,doses,vaccine_doses_per_thousand,per_gop,dec_gop,covidcases,covidmortality,PCTPOVALL,Age65AndOlderPct2010,AsianNonHispanicPct2010,BlackNonHispanicPct2010,HispanicPct2010,NativeAmericanNonHispanicPct2010,RUCC,civic_opp_per_cap,all_nonprofits_per_cap
01001,AL,Autauga County,1707,39.786500093231396,0.714368023046453,8,152.43333954876002,2.307477158306918,12.1,12,0.86,17.58,2.4,0.4,2,1.60824165578967,4.451799366026477
01003,AL,Baldwin County,7298,41.541438979963566,0.7617137282433282,8,116.216985428051,1.7076502732240437,10.1,16.77,0.74,9.31,4.38,0.63,3,1.5425774134790529,4.456967213114755
01005,AL,Barbour County,616,31.422158743113652,0.5345122646891044,6,113.14017547439299,2.7545398898184046,27.1,14.24,0.39,46.69,5.05,0.22,6,2.1424199143032032,5.305039787798408
01007,AL,Bibb County,418,23.434434041598923,0.7842626367899947,8,142.06424847227672,3.2516678813701856,20.3,12.68,0.1,21.92,1.77,0.28,1,1.2894545046812804,3.531984078040029
01009,AL,Blount County,1029,23.08676044961971,0.8957155284906482,9,143.7706131789729,2.9391308249758814,16.3,14.72,0.2,1.26,8.07,0.5,1,0.7852639608714186,2.826950259137107
01011,AL,Bullock County,376,47.02939337085679,0.24842835464990246,3,150.093808630394,4.878048780487805,30,13.46,0.18,69.97,7.12,0.18,6,1.50093808630394,5.7535959974984365
01013,AL,Butler County,573,37.76196124950574,0.5752529510961214,6,137.20838275998418,4.349545274812179,21.6,16.66,0.83,43.19,0.91,0.28,6,1.9111638328720177,4.547251878212732
01015,AL,Calhoun County,3102,34.80231566665171,0.6884843967597043,7,159.1796436745501,3.4106718125925592,17.2,14.33,0.7,20.39,3.28,0.4,3,1.4697302876632412,4.2409011353946955
01017,AL,Chambers County,992,37.659921794920464,0.5726903951845067,6,132.03750806727155,4.403781177631829,19.6,16.68,0.49,38.6,1.57,0.17,6,1.2907634486162256,4.441744808473483
01019,AL,Cherokee County,666,31.342651418890302,0.8603365580034144,9,84.61574662337051,2.023624641159584,15.9,17.9,0.19,4.64,1.23,0.47,6,1.4118311449950587,3.38839474798814
01021,AL,Chilton County,1116,32.98164730915861,0.8329880890730191,9,118.6275379022963,3.221325767650796,16,13.57,0.29,9.56,7.84,0.31,1,1.1821378963856133,3.1326654254218758
01023,AL,Choctaw County,676,66.87110495597982,0.5755627009646302,6,57.67138193688792,2.3741220694430707,22.6,18.18,0.09,43.22,0.53,0.13,9,2.077356810762687,6.6277574438619045
01025,AL,Clarke County,1056,56.80778955296143,0.5575942139322421,6,186.50814998117167,3.1201248049922,18.4,16.16,0.29,43.67,1.05,0.37,7,1.2372908709451826,4.465006186454355
01027,AL,Clay County,352,33.314404694302475,0.8082251082251082,9,140.07192882831723,5.110732538330494,16.6,17.58,0.17,14.7,2.86,0.39,9,1.3250047321597578,4.069657391633542
01029,AL,Cleburne County,379,32.81669408606806,0.8971910889719109,9,125.29223309377436,3.5500909169625077,13.3,15.77,0.15,3.3,2.05,0.33,8,0.6061130833838427,2.7708026668975667
01031,AL,Coffee County,2651,66.36126965054571,0.7586531986531986,8,134.37468709322118,2.678482026634625,15,14.44,1.26,16.53,6.37,1.21,4,1.051366776809853,3.529588465004506
01033,AL,Colbert County,1959,44.842741381678344,0.688625116545937,7,140.7773657464634,2.861328572082589,14.6,17.39,0.41,15.99,2.01,0.48,3,1.7396877718262145,4.715469486792107
01035,AL,Conecuh County,283,29.50067757740019,0.5343890700201832,6,113.20754716981132,2.710309600750547,22.2,17.86,0.13,46.28,1.22,0.33,7,0.9381840925674971,3.8569790472219325
01037,AL,Coosa County,313,35.105428443248094,0.6627121737543348,7,105.65275908479138,2.6917900403768504,17.1,17.07,0.12,30.82,1.99,0.35,8,0.8972633467922835,3.589053387169134
01039,AL,Covington County,1483,51.33797209817565,0.8368330464716007,9,139.61297469449926,3.842558936545851,17.2,18.37,0.39,12.41,1.28,0.52,6,1.8001177000034618,4.638764842316613
01041,AL,Crenshaw County,515,48.42045881910493,0.7350763185733716,8,140.4663407295976,5.359157578036856,16.8,15.89,1.36,23.31,1.47,0.4,8,1.1282437006393382,3.8548326438510716
01043,AL,Cullman County,1615,24.862984173902333,0.8812214761893383,9,143.71266703614754,2.8634768150748195,12.2,15.93,0.42,1.02,4.3,0.49,4,1.4009483342570357,3.7255988669253033
01045,AL,Dale County,1879,49.46819713563605,0.724642820954504,8,124.81571187868576,2.8696293176074135,18.1,13.45,1.05,19,5.61,0.67,4,1.026748104465038,3.0539174389216512
01047,AL,Dallas County,643,22.54479155709828,0.30922525750111957,4,123.03215174783493,5.154096981171768,26,14.07,0.33,69.18,0.71,0.18,4,3.0153220434066124,8.835594824865888
01049,AL,DeKalb County,1665,30.611119282247387,0.8436776127537812,9,159.65583173996174,3.290925136049419,18.2,13.89,0.23,1.45,13.63,1.22,6,1.08471834093249,3.107074569789675
