ZCTA,FIPS,all.orgs,eng,eng.alt,vol,mem,evt,act
00000,NA,1265,632,591,287,543,383,44
00501,36103,1,1,1,0,1,1,0
00601,72001,5,0,0,0,0,0,0
00602,72003,7,1,1,1,1,1,0
00603,72005,14,1,1,0,1,1,0
00604,72005,3,1,1,1,1,1,0
00606,72093,1,0,0,0,0,0,0
00610,72011,2,0,0,0,0,0,0
00612,72013,14,2,1,1,0,2,0
00614,72013,2,0,0,0,0,0,0
00616,72013,1,0,0,0,0,0,0
00617,72017,3,0,0,0,0,0,0
00622,72023,2,0,0,0,0,0,0
00623,72023,10,2,2,1,2,1,0
00624,72111,2,0,0,0,0,0,0
00627,72027,4,1,1,1,1,1,1
00637,72121,1,1,1,1,1,1,0
00638,72039,1,0,0,0,0,0,0
00641,72141,4,1,1,0,1,0,0
00646,72051,22,8,4,1,4,7,0
00647,72055,1,1,1,1,1,1,0
00650,72054,3,1,1,1,1,1,1
00653,72055,1,0,0,0,0,0,0
00656,72059,2,0,0,0,0,0,0
00659,72065,1,0,0,0,0,0,0
00660,72067,2,0,0,0,0,0,0
00662,72071,11,1,1,1,0,1,0
00664,72073,1,0,0,0,0,0,0
00667,72079,2,0,0,0,0,0,0
00669,72081,2,0,0,0,0,0,0
00674,72091,7,1,1,0,1,1,0
00676,72099,7,1,1,1,1,1,0
00677,72117,6,2,2,2,1,2,0
00678,72115,5,0,0,0,0,0,0
00680,72097,17,2,1,1,1,2,0
00681,NA,1,1,1,1,1,1,0
00682,72097,9,3,3,1,2,1,0
00683,72125,6,2,2,2,2,1,0
00685,72131,5,0,0,0,0,0,0
00688,72013,1,0,0,0,0,0,0
00690,72005,1,0,0,0,0,0,0
00692,72143,6,2,2,1,1,0,0
00693,72145,8,1,1,1,1,1,0
00694,72145,1,0,0,0,0,0,0
00698,72153,5,2,1,1,1,1,0
00703,72007,8,1,1,0,1,0,0
00705,72009,2,0,0,0,0,0,0
00707,72095,1,0,0,0,0,0,0
00714,72015,1,0,0,0,0,0,0
00715,72113,1,0,0,0,0,0,0
00716,72113,9,2,1,0,1,1,0
00717,72113,11,1,1,0,1,1,0
00718,72103,3,2,2,1,2,0,0
00719,72105,1,0,0,0,0,0,0
00720,72107,1,0,0,0,0,0,0
00723,72109,1,0,0,0,0,0,0
00725,72025,25,3,1,0,1,2,0
00726,72025,1,0,0,0,0,0,0
00727,72025,6,0,0,0,0,0,0
00728,72113,3,0,0,0,0,0,0
00729,72029,1,0,0,0,0,0,0
00730,72113,11,3,3,2,3,1,0
00731,72113,1,0,0,0,0,0,0
00733,72113,1,1,1,1,1,1,0
00735,72037,2,0,0,0,0,0,0
00736,72035,4,0,0,0,0,0,0
00737,72035,1,0,0,0,0,0,0
00738,72053,5,0,0,0,0,0,0
00739,72041,6,0,0,0,0,0,0
00745,72119,3,0,0,0,0,0,0
00751,72123,1,0,0,0,0,0,0
00754,72129,4,0,0,0,0,0,0
00757,72133,2,0,0,0,0,0,0
00765,72147,9,4,3,2,1,3,0
00766,72149,2,0,0,0,0,0,0
00767,72151,1,0,0,0,0,0,0
00769,72043,3,1,1,0,1,1,0
00771,72085,5,0,0,0,0,0,0
00772,72087,4,1,1,1,1,1,0
00773,72089,5,2,2,1,2,2,0
00777,72077,3,0,0,0,0,0,0
00778,72063,12,3,3,2,2,2,0
00780,72113,3,1,0,0,0,1,0
00783,72047,6,0,0,0,0,0,0
00784,72057,1,1,1,1,1,1,0
00791,72069,15,4,1,0,1,3,0
00794,72019,6,0,0,0,0,0,0
00795,72075,4,0,0,0,0,0,0
00801,NA,3,3,2,0,2,2,0
00802,NA,78,28,25,6,22,20,2
00803,NA,1,0,0,0,0,0,0
00820,NA,42,13,10,7,8,10,0
00821,NA,2,0,0,0,0,0,0
00830,NA,9,2,2,2,2,1,0
00840,NA,23,4,3,2,2,4,0
00841,NA,1,0,0,0,0,0,0
00850,NA,10,3,2,1,2,2,0
00901,72127,20,9,6,3,5,6,0
00902,72127,2,0,0,0,0,0,0
00907,72127,42,13,10,6,8,7,1
00909,72127,13,5,4,1,4,2,0
00911,72127,16,4,4,2,4,2,0
00912,72127,7,0,0,0,0,0,0
00913,72127,4,1,1,0,1,1,0
00915,72127,4,0,0,0,0,0,0
00916,72127,1,0,0,0,0,0,0
00917,72127,9,3,0,0,0,3,0
00918,72127,36,9,8,4,8,6,0
00919,72127,4,2,2,1,2,1,0
00920,72127,14,5,4,0,4,2,0
00921,72127,11,2,2,1,2,2,0
00922,72127,1,0,0,0,0,0,0
00923,72127,8,2,2,1,1,0,0
00924,72127,8,1,1,0,1,0,0
00925,72127,17,7,3,1,1,4,1
00926,72127,54,10,10,5,6,4,1
00927,72127,17,4,2,1,2,3,0
